t,S_wR_kgR,S_wR_kgL,S_wR_ka,S_wR_Kf,S_wR_Kq,S_wL_kgR,S_wL_kgL,S_wL_ka,S_wL_Kf,S_wL_Kq
0.5700000000000001,0.01622638018442322,0.0,-0.09857994754877268,-0.3919991583425825,-0.024218923627666065,0.0,-0.01622638018442322,0.09857994754877268,0.3919991583425825,0.024218923627666065
0.5750000000000001,0.01635389361141099,0.0,-0.100130567696694,-0.3959317382711159,-0.02480713299499567,0.0,-0.01635389361141099,0.100130567696694,0.3959317382711159,0.02480713299499567
0.58,0.016481109439280158,0.0,-0.10169031323186078,-0.3998561054488484,-0.025403394804210694,0.0,-0.016481109439280158,0.10169031323186078,0.3998561054488484,0.025403394804210694
0.585,0.016608027026620585,0.0,-0.10325912062567154,-0.4037721982248146,-0.026007726974378434,0.0,-0.016608027026620585,0.10325912062567154,0.4037721982248146,0.026007726974378434
0.59,0.016734645777103277,0.0,-0.10483692669787226,-0.4076799582309057,-0.026620146970470472,0.0,-0.016734645777103277,0.10483692669787226,0.4076799582309057,0.026620146970470472
0.595,0.01686096513808856,0.0,-0.10642366861447752,-0.41157933024879795,-0.027240671807510358,0.0,-0.01686096513808856,0.10642366861447752,0.41157933024879795,0.027240671807510358
0.6,0.016986984599264753,0.0,-0.10801928388561573,-0.4154702620823228,-0.027869318054601938,0.0,-0.016986984599264753,0.10801928388561573,0.4154702620823228,0.027869318054601938
0.605,0.017112703691317673,0.0,-0.10962371036330706,-0.4193527044350561,-0.028506101838845936,0.0,-0.017112703691317673,0.10962371036330706,0.4193527044350561,0.028506101838845936
0.61,0.017238121984631254,0.0,-0.11123688623918206,-0.4232266107929113,-0.029151038849151864,0.0,-0.017238121984631254,0.11123688623918206,0.4232266107929113,0.029151038849151864
0.615,0.017363239088019414,0.0,-0.112858750042148,-0.4270919373115295,-0.029804144339951957,0.0,-0.017363239088019414,0.112858750042148,0.4270919373115295,0.029804144339951957
0.62,0.01748805464748919,0.0,-0.11448924063601021,-0.4309486427082702,-0.030465433134823448,0.0,-0.01748805464748919,0.11448924063601021,0.4309486427082702,0.030465433134823448
0.625,0.017612568345035107,0.0,-0.11612829721705442,-0.4347966881586112,-0.031134919630025133,0.0,-0.017612568345035107,0.11612829721705442,0.4347966881586112,0.031134919630025133
0.63,0.017736779897464642,0.0,-0.11777585931159644,-0.4386360371967775,-0.03181261779795383,0.0,-0.017736779897464642,0.11777585931159644,0.4386360371967775,0.03181261779795383
0.635,0.017860689055254595,0.0,-0.11943186677350456,-0.44246665562042337,-0.03249854119052598,0.0,-0.017860689055254595,0.11943186677350456,0.44246665562042337,0.03249854119052598
0.64,0.017984295601438112,0.0,-0.12109625978169998,-0.44628851139920106,-0.03319270294248942,0.0,-0.017984295601438112,0.12109625978169998,0.44628851139920106,0.03319270294248942
0.645,0.01810759935052202,0.0,-0.12276897883764004,-0.45010157458705574,-0.03389511577466986,0.0,-0.01810759935052202,0.12276897883764004,0.45010157458705574,0.03389511577466986
0.65,0.01823060014743414,0.0,-0.12444996476278877,-0.4539058172380924,-0.03460579199715664,0.0,-0.01823060014743414,0.12444996476278877,0.4539058172380924,0.03460579199715664
0.655,0.018353297866500168,0.0,-0.12613915869607892,-0.4577012133258676,-0.035324743512431665,0.0,-0.018353297866500168,0.12613915869607892,0.4577012133258676,0.035324743512431665
0.66,0.01847569241044966,0.0,-0.12783650209136926,-0.46148773866596454,-0.03605198181844555,0.0,-0.01847569241044966,0.12783650209136926,0.46148773866596454,0.03605198181844555
0.665,0.01859778370945069,0.0,-0.12954193671490088,-0.46526537084171604,-0.03678751801164448,0.0,-0.01859778370945069,0.12954193671490088,0.46526537084171604,0.03678751801164448
0.67,0.018719571720172662,0.0,-0.13125540464275554,-0.4690340891329453,-0.037531362789951256,0.0,-0.018719571720172662,0.13125540464275554,0.4690340891329453,0.037531362789951256
0.675,0.018841056424876747,0.0,-0.13297684825831926,-0.4727938744475998,-0.03828352645570362,0.0,-0.018841056424876747,0.13297684825831926,0.4727938744475998,0.03828352645570362
0.68,0.018962237830533406,0.0,-0.13470621024975385,-0.47654470925615916,-0.03904401891855292,0.0,-0.018962237830533406,0.13470621024975385,0.47654470925615916,0.03904401891855292
0.685,0.019083115967966493,0.0,-0.13644343360747893,-0.4802865775287023,-0.039812849698325825,0.0,-0.019083115967966493,0.13644343360747893,0.4802865775287023,0.039812849698325825
0.6900000000000001,0.019203690891023296,0.0,-0.1381884616216668,-0.4840194646745241,-0.040590027927851685,0.0,-0.019203690891023296,0.1381884616216668,0.4840194646745241,0.040590027927851685
0.6950000000000001,0.019323962675769996,0.0,-0.13994123787975232,-0.48774335748419656,-0.041375562355758,0.0,-0.019323962675769996,0.13994123787975232,0.48774335748419656,0.041375562355758
0.7000000000000001,0.019443931419711957,0.0,-0.14170170626395948,-0.4914582440739734,-0.0421694613492362,0.0,-0.019443931419711957,0.14170170626395948,0.4914582440739734,0.0421694613492362
0.705,0.019563597241038233,0.0,-0.14346981094884675,-0.4951641138324416,-0.04297173289677988,0.0,-0.019563597241038233,0.14346981094884675,0.4951641138324416,0.04297173289677988
0.71,0.01968296027788973,0.0,-0.1452454963988728,-0.4988609573693274,-0.04378238461089749,0.0,-0.01968296027788973,0.1452454963988728,0.4988609573693274,0.04378238461089749
0.715,0.019802020687650426,0.0,-0.14702870736598336,-0.5025487664663675,-0.04460142373080109,0.0,-0.019802020687650426,0.14702870736598336,0.5025487664663675,0.04460142373080109
0.72,0.01992077864626105,0.0,-0.14881938888722157,-0.5062275340301605,-0.045428857125073135,0.0,-0.01992077864626105,0.14881938888722157,0.5062275340301605,0.045428857125073135
0.725,0.020039234347554682,0.0,-0.1506174862823619,-0.5098972540469182,-0.046264691294312744,0.0,-0.020039234347554682,0.1506174862823619,0.5098972540469182,0.046264691294312744
0.73,0.020157388002613595,0.0,-0.15242294515156946,-0.513557921539036,-0.04710893237376279,0.0,-0.020157388002613595,0.15242294515156946,0.513557921539036,0.04710893237376279
0.735,0.020275239839146895,0.0,-0.154235711373085,-0.5172095325234104,-0.04796158613591934,0.0,-0.020275239839146895,0.154235711373085,0.5172095325234104,0.04796158613591934
